Year,Title,Category 1,Category 2,Entity 1,Entity 2,Location,URL,Required response URL,Invited response (if different)
2016,Reporting Santa Cruz County Retirement Costs and Obligations,Government,,Board of Supervisors,,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/ReportingRetirementCostsAndObligations.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/RRCO_SCCBoS_Response.pdf,
2016,Santa Cruz County Mental Health Advisory Board Revisited,Public Health,,Board of Supervisors,Mental Health Advisory Board,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/MentalHealthAdvisoryBoardRevisited.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/MHABRevisited_SCCBoS_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/MHABRevisited_MHAB_Response.pdf
2016,Soquel Union Elementary School Board – Full Disclosure is Not Optional,Schools,Government,SUESD,,Capitola,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/SoquelSchoolBoardFullDisclosure.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/SUESDFullDisclosure_SUESDBoT_Response.pdf,
2016,Very Civil Asset Forfeiture in Santa Cruz County,Public Safety,,District Attorney,,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/VeryCivilAssetForfeiture.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/VeryCivilAssetForfeiture_DA_Response.pdf,
2016,K-12 School Safety and Emergency Plan Audit,Schools,,Office of Education,,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/K-12SchoolSafetyandEmergencyPlanAudit.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/K-12SchoolPlanAudit_SCCOEBoT_Response.pdf,
2016,Santa Cruz County Domestic Violence Commission – Missing in Action,Public Safety,,Board of Supervisors,,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/DomesticViolenceCommission.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/DomesticViolenceCommission_SCCBoS_Response.pdf,
2016,Another Death in Our Jail,Jails,,Board of Supervisors,Sheriff-Coroner,Main Jail,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/AnotherDeathInOurJail.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/AnotherDeathInOurJail_SCCBoS_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/AnotherDeathInOurJail_Sheriff_Response.pdf
2016,Jails in Transition – 2015-2016 Jail Inspection Report,Jails,,Sheriff-Coroner,,Jails,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/JailsInTransition.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/JailsInTransition_Sheriff_Response.pdf,
2016,Felton Fire Protection District’s Surplus Land Sale,Government,,Felton Fire Protection District,,Felton,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/FeltonFireSurplusLandSale.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/FeltonFireSurplusLandSale_FFPDBoD_Response.pdf,
2016,Capitola Police Department’s Citizen Complaint Procedures,Public Safety,,Capitola Police,,Capitola,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/CapitolaPoliceComplaintProcedures.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2016_final/CapitolaPoliceComplaintProcedures_CCC_Response.pdf,
2017,Every Vote Counts - A Look at Our County Elections Department,Elections,,Board of Supervisors,County Clerk,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/EveryVoteCounts.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/EveryVoteCounts_SCCBoS_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/EveryVoteCounts_SCCClerk_Response.pdf
2017,Soquel Union Elementary School District and the Brown Act,Schools,Government,SUESD,,Capitola,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SUESDandBrownAct.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SUESDandBrownAct_Board_Response.pdf,
2017,Assessing the Threat of Violence in our Public Schools,Schools,Public Safety,Superintendent of Schools,Sheriff-Coroner,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SchoolThreatAssessment.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SchoolThreatAssessment_Superintendent_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SchoolThreatAssessment_Sheriff_Response.pdf
2017,Pajaro Valley Unified School District Bond Measure L,Schools,,PVUSD,,Pajaro Valley,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/PVUSDBondMeasureL.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/PVUSDBondMeasureL_Board_Response.pdf,
2017,Sharper Solutions – A Sticky Situation That Won’t Go Away,Public Health,,Board of Supervisors,Health Services Agency,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SharperSolutions.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SharperSolutions_BoS_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SharperSolutions_DirectorHSA_Response.pdf
2017,Jails in Santa Cruz County,Jails,,Board of Supervisors,Sheriff-Coroner,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/JailsInSantaCruzCounty.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/JailsInSantaCruzCounty_BoS_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/JailsInSantaCruzCounty_Sheriff_Response.pdf
2017,Santa Cruz Metropolitan Transit District – The Bus Stops Here,Transportation,,Metropolitan Transit District,,County,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SantaCruzMetro.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SantaCruzMetro_Board_Response.pdf,https://www.santacruzcountyca.gov/Portals/0/County/GrandJury/GJ2017_final/SantaCruzMetro_CEO_Response.pdf
